id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9017833,4950,HOUSE,HOUSE,480000,FOR_SALE,7,350,,True,False,True,,,,1371,4,,
8944001,5522,HOUSE,MIXED_USE_BUILDING,525000,FOR_SALE,12,700,INSTALLED,True,True,True,50,True,10000,10000,,,GOOD
9006546,9810,HOUSE,HOUSE,595000,FOR_SALE,2,215,,,True,True,,True,,4300,4,,TO_RENOVATE
9006544,9810,HOUSE,COUNTRY_COTTAGE,595000,FOR_SALE,2,215,,,True,True,,True,,4300,4,,TO_RENOVATE
8664756,2830,HOUSE,APARTMENT_BLOCK,600000,FOR_SALE,0,,SEMI_EQUIPPED,,False,,,,,295,2,,GOOD
9012506,1850,HOUSE,VILLA,625000,FOR_SALE,3,293,,False,False,,,,,970,4,,GOOD
8923461,1950,HOUSE,VILLA,650000,FOR_SALE,3,197,,,False,True,,True,704,820,4,,GOOD
9006291,4600,HOUSE,HOUSE,650000,FOR_SALE,3,203,INSTALLED,False,False,True,163,,,558,3,,
9018482,8300,HOUSE,HOUSE,650000,FOR_SALE,3,150,HYPER_EQUIPPED,False,True,True,,True,,84,,False,AS_NEW
8720581,1150,HOUSE,HOUSE,680000,FOR_SALE,6,233,SEMI_EQUIPPED,False,False,True,30,True,93,170,2,False,TO_RENOVATE
8958375,9000,HOUSE,HOUSE,685000,FOR_SALE,4,208,HYPER_EQUIPPED,,False,True,35,,,124,2,,AS_NEW
8613200,8300,HOUSE,HOUSE,785000,FOR_SALE,5,,USA_HYPER_EQUIPPED,,False,True,,True,,260,,False,JUST_RENOVATED
8919423,8570,HOUSE,EXCEPTIONAL_PROPERTY,825000,FOR_SALE,3,388,INSTALLED,False,False,True,100,True,250,937,3,False,AS_NEW
8354938,1180,HOUSE,EXCEPTIONAL_PROPERTY,837000,FOR_SALE,3,162,HYPER_EQUIPPED,,False,True,60,True,60,210,2,,
8972300,1861,HOUSE,VILLA,890000,FOR_SALE,6,409,,False,False,,,,,8418,4,,GOOD
8981554,9320,HOUSE,VILLA,920000,FOR_SALE,4,420,INSTALLED,,True,True,60,True,2000,3187,4,,GOOD
8981552,9320,HOUSE,EXCEPTIONAL_PROPERTY,920000,FOR_SALE,4,420,INSTALLED,,True,True,60,True,2000,3187,4,,GOOD
8942318,4000,HOUSE,APARTMENT_BLOCK,950000,FOR_SALE,14,600,INSTALLED,False,False,True,,,,0,3,False,JUST_RENOVATED
9016656,1050,HOUSE,HOUSE,995000,FOR_SALE,3,175,,False,False,True,,,,176,2,,JUST_RENOVATED
8951011,4880,HOUSE,HOUSE,1100000,FOR_SALE,4,273,INSTALLED,False,False,True,89,,,3794,4,,
9025810,9000,HOUSE,HOUSE,1500000,FOR_SALE,4,300,SEMI_EQUIPPED,,False,,,,,88,,,GOOD
9016674,1410,HOUSE,VILLA,1725000,FOR_SALE,6,460,,False,False,True,,,,2122,4,,GOOD
7773713,1950,HOUSE,VILLA,2950000,FOR_SALE,5,650,HYPER_EQUIPPED,,False,True,,,,2000,4,,AS_NEW
9044414,8310,HOUSE,HOUSE,375000,FOR_SALE,5,206,INSTALLED,False,True,True,35,,,363,3,,GOOD
9043385,6690,HOUSE,MANOR_HOUSE,489000,FOR_SALE,7,380,,False,False,True,,,,2338,3,,
9033896,1150,APARTMENT,PENTHOUSE,1396000,FOR_SALE,4,217,USA_HYPER_EQUIPPED,False,False,True,68,,,,2,,JUST_RENOVATED
9027912,1435,HOUSE,VILLA,395000,FOR_SALE,4,195,NOT_INSTALLED,False,False,True,15,True,1900,2100,4,False,TO_RENOVATE
9028377,1430,HOUSE,EXCEPTIONAL_PROPERTY,825000,FOR_SALE,5,454,USA_HYPER_EQUIPPED,False,False,True,170,,,3601,4,False,
8617611,7170,APARTMENT,APARTMENT,215000,FOR_SALE,3,,HYPER_EQUIPPED,False,False,,,,,,4,,AS_NEW
9017282,6820,APARTMENT,APARTMENT,219000,FOR_SALE,2,86,INSTALLED,False,False,True,8,,,,3,,
